date,metric,avg,total,count
2021-06-02,HeartRate,102.60322395833333,9849.9095,96
2021-06-02,Steps,121.92,3048.0,25
2021-06-03,HeartRate,106.03018867924528,28098.0,265
2021-06-03,RHR,81.0,81.0,1
2021-06-03,Steps,99.66141732283465,12657.0,127
2021-06-04,HeartRate,106.66666666666667,9600.0,90
2021-06-04,RHR,93.0,93.0,1
2021-06-04,Steps,97.55276381909547,19413.0,199
2021-06-05,HeartRate,96.13333333333334,1442.0,15
2021-06-05,Steps,169.31578947368422,9651.0,57
2021-06-06,Steps,81.09677419354838,2514.0,31
2021-06-07,HeartRate,90.40264295774648,12837.1753,142
2021-06-07,RHR,84.0,168.0,2
2021-06-07,Steps,38.936,4867.0,125
2021-06-08,HeartRate,96.46428571428571,10804.0,112
2021-06-08,RHR,84.0,84.0,1
2021-06-08,Steps,40.76,2038.0,50
2021-06-09,HeartRate,93.91954022988506,8171.0,87
2021-06-09,Steps,45.64367816091954,3971.0,87
2021-06-10,HeartRate,104.69099348534202,32140.135,307
2021-06-10,RHR,71.5,143.0,2
2021-06-10,Steps,96.11475409836065,11726.0,122
2021-06-11,HeartRate,96.9545453488372,8338.0909,86
2021-06-11,RHR,63.0,63.0,1
2021-06-11,Steps,85.984375,11006.0,128
2021-06-12,HeartRate,82.91681120689655,9618.3501,116
2021-06-12,Steps,52.049180327868854,9525.0,183
2021-06-13,HeartRate,100.27272727272727,1103.0,11
2021-06-13,Steps,52.857142857142854,1480.0,28
2021-06-14,Steps,68.15384615384616,1772.0,26
2021-06-15,HeartRate,92.98089180327868,5671.8344,61
2021-06-15,RHR,74.0,148.0,2
2021-06-15,Steps,36.825,1473.0,40
2021-06-16,HeartRate,90.57603846153846,7064.931,78
2021-06-16,RHR,82.0,82.0,1
2021-06-16,Steps,70.0625,2242.0,32
2021-06-17,HeartRate,94.84269133333333,14226.4037,150
2021-06-17,Steps,83.8923076923077,10906.0,130
2021-06-18,Steps,66.3225806451613,2056.0,31
2021-06-19,Steps,123.6896551724138,3587.0,29
2021-06-20,HeartRate,90.07701304347826,12430.6278,138
2021-06-20,RHR,77.5,155.0,2
2021-06-20,Steps,58.950819672131146,7192.0,122
2021-06-21,Steps,72.76923076923077,946.0,13
2021-06-22,Steps,62.958333333333336,1511.0,24
2021-06-23,Steps,91.56,2289.0,25
2021-06-24,Steps,125.96666666666667,3779.0,30
2021-06-25,Steps,112.68181818181819,2479.0,22
2021-06-26,HeartRate,92.16884269662921,8203.027,89
2021-06-26,RHR,66.0,132.0,2
2021-06-26,Steps,80.15555555555555,7214.0,90
2021-06-27,HeartRate,74.34686666666666,4237.7714,57
2021-06-27,RHR,79.0,79.0,1
2021-06-27,Steps,57.1566265060241,4744.0,83
2021-06-28,HeartRate,92.7159090909091,8159.0,88
2021-06-28,RHR,90.0,90.0,1
2021-06-28,Steps,78.765625,5041.0,64
2021-06-29,HeartRate,115.18747368421053,19697.058,171
2021-06-29,Steps,74.56603773584905,7904.0,106
2021-06-30,HeartRate,106.6,2665.0,25
2021-06-30,Steps,94.575,3783.0,40
2021-07-01,Steps,99.77777777777777,2694.0,27
2021-07-02,HeartRate,114.48,2862.0,25
2021-07-02,Steps,85.43617021276596,8031.0,94
2021-07-03,HeartRate,106.31767213114753,6485.378,61
2021-07-03,Steps,71.97142857142858,2519.0,35
2021-07-04,Steps,86.44,2161.0,25
2021-07-05,Steps,57.375,1377.0,24
2021-07-06,Steps,63.61538461538461,1654.0,26
2021-07-07,Steps,31.083333333333332,373.0,12
2021-07-08,Steps,161.33333333333334,5808.0,36
2021-07-09,Steps,68.21428571428571,1910.0,28
2021-07-10,Steps,95.36363636363636,2098.0,22
2021-07-11,Steps,41.84,1046.0,25
2021-07-12,Steps,65.64,1641.0,25
2021-07-13,Steps,42.608695652173914,980.0,23
2021-07-14,Steps,26.571428571428573,372.0,14
2021-07-15,Steps,187.0,5049.0,27
2021-07-16,Steps,107.57142857142857,3765.0,35
2021-07-17,Steps,119.375,3820.0,32
2021-07-18,Steps,62.51724137931034,1813.0,29
2021-07-19,Steps,42.189189189189186,1561.0,37
2021-07-20,Steps,155.75,2492.0,16
2021-07-21,Steps,135.04761904761904,2836.0,21
2021-07-22,Steps,186.57575757575756,6157.0,33
2021-07-23,Steps,99.34285714285714,3477.0,35
2021-07-24,Steps,62.354838709677416,1933.0,31
2021-07-25,Steps,34.916666666666664,419.0,12
2021-07-26,Steps,90.38709677419355,2802.0,31
2021-07-27,Steps,109.94594594594595,4068.0,37
2021-07-28,Steps,45.21739130434783,1040.0,23
2021-07-29,Steps,212.93478260869566,9795.0,46
2021-07-30,Steps,69.8157894736842,2653.0,38
2021-07-31,Steps,65.88888888888889,2372.0,36
2021-08-01,Steps,91.48571428571428,3202.0,35
2021-08-02,Steps,74.08823529411765,2519.0,34
2021-08-03,Steps,185.375,5932.0,32
2021-08-04,Steps,218.48979591836735,10706.0,49
2021-08-05,Steps,170.97435897435898,6668.0,39
2021-08-06,Steps,135.27777777777777,2435.0,18
2021-08-07,Steps,248.62962962962962,6713.0,27
2021-08-08,Steps,175.9512195121951,7214.0,41
2021-08-09,Steps,151.27272727272728,4992.0,33
2021-08-10,Steps,140.37254901960785,7159.0,51
2021-08-11,Steps,71.16279069767442,3060.0,43
2021-08-12,Steps,186.27906976744185,8010.0,43
2021-08-13,Steps,139.2051282051282,5429.0,39
2021-08-14,Steps,174.5,9423.0,54
2021-08-15,Steps,296.84444444444443,13358.0,45
2021-08-16,Steps,177.4878048780488,7277.0,41
2021-08-17,Steps,156.4,3128.0,20
2021-09-23,Steps,299.4230769230769,7785.0,26
2021-09-24,Steps,196.9142857142857,6892.0,35
2021-09-25,Steps,69.32142857142857,1941.0,28
2021-09-26,Steps,217.53703703703704,11747.0,54
2021-09-27,Steps,124.92857142857143,5247.0,42
2021-09-28,Steps,133.11111111111111,3594.0,27
2021-09-29,Steps,197.05405405405406,7291.0,37
2021-09-30,Steps,245.55555555555554,11050.0,45
2021-10-01,Steps,99.61538461538461,3885.0,39
2021-10-02,Steps,117.82608695652173,2710.0,23
2021-10-03,Steps,51.2,1280.0,25
2021-10-04,Steps,177.16129032258064,5492.0,31
2021-10-05,Steps,76.97142857142858,2694.0,35
2021-10-06,Steps,117.6470588235294,4000.0,34
2021-10-07,Steps,236.8421052631579,9000.0,38
